townsendi	2.1825822807
occidentalis	2.3364443291
virens	2.158031378
chrysoparia	2.3039659288
nigrescens	2.1589385543
graciae	2.086280355
discolor	2.0288163693
dominica	2.2741363941
pinus	2.4720333069
coronata	2.4642474535
palmarum	2.3300393714
caerulescens	2.3187418695
striata	2.4708784747
pensylvanica	2.224272326
petechia	2.2453722401
fusca	2.3067495199
castanea	2.4678326454
magnolia	2.0991118285
americana	2.055001927
pitiayumi	1.9300943534
cerulea	2.2092271805
tigrina	2.3126324855
kirtlandii	2.6363275547
ruticilla	2.1057115629
citrina	2.354178075
